,latitude,longitude,defaut_36mois
0,48.7533,2.2967,0.0
1,48.8354,2.2413,0.0
2,43.5513,7.0128,0.0
3,45.1252,5.840575,0.0
4,48.9047,2.2469,0.0
5,49.035,2.689376923076923,0.0
6,45.7485,4.84435,0.0
7,48.9479,2.2474,0.0
8,48.8835,2.33535,0.0
9,49.0278,2.3264,0.0
10,48.821,2.2772,0.0
11,48.7448,2.487,0.0
12,48.7997,2.0232,0.0
13,48.6061,7.6885,0.0
14,48.9899,2.16235,0.0
15,48.8835,2.33535,0.0
16,45.7964,5.049325,0.0
17,48.9495,2.0407,0.0
18,49.4008,1.0458,0.0
19,49.05,2.06215,0.0
20,48.892,2.2067,0.0
21,47.2751,-2.2179,0.0
22,48.8162,2.3139,0.0
23,48.8354,2.2413,0.0
24,43.2708,5.3821,0.0
25,48.9188,2.254,0.0
26,48.7533,2.2967,0.0
27,48.9188,2.254,0.0
28,48.9065,2.3334,0.0
29,48.8642,2.4432,0.0
30,48.9194,2.2748,0.0
31,43.5283,5.4497,0.0
32,49.05,2.06215,0.0
33,48.9495,2.0407,0.0
34,43.5283,5.52106,0.0
35,48.112,-1.6743,0.0
36,48.8834,2.2389,0.0
37,48.9167,2.3833,0.0
38,43.3699,5.2511,0.0
39,49.4431,1.0993,0.0
40,50.6828,3.0478,0.0
41,48.821,2.2772,0.0
42,43.3849,-1.66545,0.0
43,48.8714,2.2293,0.0
44,50.9062,2.2461333333333333,0.0
45,43.2073,6.506266666666666,0.0
46,43.2961,5.4362,0.0
47,49.5059,0.35676875,0.0
48,43.2708,5.3821,0.0
49,48.8534,2.3682,0.0
50,50.4074,3.5681666666666665,0.0
51,48.8354,2.2413,0.0
52,48.9065,2.3334,0.0
53,45.7946,4.8464,0.0
54,44.9915,-0.3955863636363636,0.0
55,49.8242,2.512455555555556,0.0
56,48.85,2.5,0.0
57,48.911,1.8624,0.0
58,48.8453,2.7977,0.0
59,47.4716,-0.552,0.0
60,49.3882,6.0476,0.0
61,45.1742,1.70897,0.0
62,49.1525,2.5516,0.0
63,48.3382,7.299044444444444,0.0
64,49.6217,0.4912625,0.0
65,43.1204,6.1286,0.0
66,48.8834,2.2389,0.0
67,50.6833,2.9,0.0
68,48.6784,6.3699,0.0
69,43.4824,1.14578,0.0
70,48.6106,2.4943,0.0
71,48.9265,2.8786666666666663,0.0
72,48.9167,2.3833,0.0
73,43.2256,-0.6442473684210527,0.0
74,43.2708,5.3821,0.0
75,46.1087,3.444433333333333,0.0
76,44.4958,-0.2507235294117647,0.0
77,50.702,2.7783,0.0
78,48.7326,2.1617333333333333,0.0
79,49.0279,2.3679,0.0
80,50.6667,3.05,0.0
81,48.8129,2.3417,0.0
82,45.0785,-1.0448,0.0
83,48.8354,2.2413,0.0
84,48.8354,2.2413,0.0
85,43.7031,7.2661,0.0
86,50.5823,3.119,0.0
87,48.7448,2.487,0.0
88,45.7059,6.373445454545455,0.0
89,48.8834,2.2389,0.0
90,47.3457,-2.5046,0.0
91,45.8137,5.057042857142856,0.0
92,48.7125,7.90995,0.0
93,49.0279,2.3679,0.0
94,48.8453,2.7977,0.0
95,49.2316,-0.4135272727272727,0.0
96,44.9256,4.9096,0.0
97,48.8834,2.2389,0.0
98,48.8869,2.0637,0.0
99,48.8899,2.76225,0.0
100,48.8534,2.35245,0.0
101,48.7183,2.2498,0.0
102,48.9711,2.2049,0.0
103,43.6109,3.8764,0.0
104,48.9047,2.2469,0.0
105,49.25,3.9861,0.0
106,47.6107,7.105203030303031,0.0
107,48.9065,2.3334,0.0
108,48.2533,-0.3274333333333333,0.0
109,44.8731,-1.038125,0.0
110,48.8854,2.4348,0.0
111,48.892,2.2067,0.0
112,48.8944,2.4093,0.0
113,48.892,2.2067,0.0
114,49.9404,4.645766666666667,0.0
115,48.7183,2.2498,0.0
116,48.7166,2.631866666666667,0.0
117,43.2073,6.506266666666666,0.0
118,43.2708,5.3821,0.0
119,48.95,2.3833,0.0
120,46.1631,-1.1522,0.0
121,49.2653,4.0285,0.0
122,47.4397,5.31615,0.0
123,43.4233,6.7735,0.0
124,45.4339,4.39,0.0
