,COD_CPPOP_CRI,IRPAR_USAGE_V12_MAX,IRPRO_USAGE_V12_MAX,QUA_INT_1_BRP,QUA_INT_MAX_BRP,CODTYP_CRT_TRAVAIL_CRI,COD_SITU_LOGT_CRI,COD_TYPE_MARCHE_CRI,IND_PRIMO_ACCEDT_CRI,TOP_NAT_FR_CRI,g_MNT_TOT_ASSURANCE_CRI,g_COUT_RACHAT_BRP,g_quotite,g_PCT_TEG_TAEG_CRI,g_MOY_ANC_PROF_BRP,g_BEST_APPORT_TX_BRP,defaut_36mois
3882,0,0,1,2,1,0,3,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_1,grp_1,0
28632,0,2,1,0,0,0,1,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
30783,0,2,1,0,0,1,1,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_3,grp_1,0
30947,0,0,1,0,0,0,2,0,1,1,grp_3,grp_3,grp_3,grp_4,grp_2,grp_2,0
32107,0,0,1,0,0,1,2,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_1,grp_1,0
32296,0,0,1,0,0,0,2,0,1,1,grp_2,grp_3,grp_1,grp_4,grp_3,grp_2,0
34320,0,1,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
35052,0,1,1,2,1,2,1,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_2,grp_3,0
35133,0,2,1,0,0,0,2,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_2,grp_1,0
37900,0,2,1,0,1,0,1,0,0,1,grp_3,grp_3,grp_1,grp_3,grp_3,grp_2,0
39873,0,2,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_3,grp_1,0
42276,0,2,1,1,0,0,3,1,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
43153,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_2,grp_1,0
45180,0,2,1,2,1,0,2,0,0,0,grp_1,grp_3,grp_1,grp_4,grp_1,grp_1,0
45267,0,0,1,0,0,0,3,0,1,0,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
46685,0,2,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_1,grp_4,grp_1,grp_1,0
47890,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_4,grp_1,grp_2,0
48123,1,2,1,0,0,2,3,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_1,grp_1,0
48253,0,1,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_1,,0
48773,0,0,1,0,0,2,1,0,0,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_2,0
48977,0,0,1,0,0,0,1,0,0,0,grp_3,grp_3,grp_4,grp_4,grp_3,grp_4,0
49334,0,0,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_1,grp_3,grp_2,grp_1,0
49479,0,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_1,grp_4,grp_2,grp_3,0
49699,0,0,0,2,0,2,1,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_2,grp_1,0
50699,0,0,1,1,0,0,1,1,0,1,grp_3,grp_3,grp_1,grp_4,grp_3,grp_1,0
51016,0,2,0,1,0,0,3,1,1,1,grp_3,grp_3,grp_4,grp_4,grp_1,grp_4,0
51117,0,2,1,0,0,0,1,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
51629,0,0,1,0,0,2,1,0,0,1,grp_2,grp_3,grp_1,grp_4,grp_2,grp_1,0
51690,2,2,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_2,grp_1,grp_1,grp_3,0
51743,0,0,1,0,1,0,3,0,1,1,grp_3,grp_3,grp_2,grp_3,grp_2,,0
52110,0,0,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_1,grp_1,0
52306,0,0,1,0,0,0,1,0,1,1,grp_3,grp_3,grp_1,grp_4,grp_1,grp_1,0
52318,0,0,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_3,grp_1,grp_1,0
52513,0,0,1,0,0,2,2,0,0,1,grp_2,grp_3,grp_4,grp_1,grp_1,grp_4,0
52550,0,0,1,1,0,1,3,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_1,grp_1,0
52758,0,0,1,2,1,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_2,0
52798,0,2,1,0,0,0,2,0,1,1,grp_3,grp_3,grp_3,grp_2,grp_1,grp_2,0
53005,0,0,1,2,1,0,2,0,0,1,grp_1,grp_3,grp_1,grp_1,grp_3,grp_2,0
53181,2,0,0,3,2,0,2,1,1,1,grp_2,grp_2,grp_1,grp_1,grp_3,grp_1,0
53221,0,2,1,0,0,1,2,1,1,1,grp_2,grp_3,grp_1,grp_3,grp_3,grp_1,0
53491,1,2,1,2,1,2,2,0,0,1,grp_2,grp_3,grp_1,grp_4,grp_1,grp_1,0
53717,0,0,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_1,grp_1,grp_2,grp_1,0
53720,0,0,1,0,0,0,1,0,0,0,grp_2,grp_3,grp_1,grp_3,grp_3,grp_1,0
53772,0,2,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_1,grp_1,grp_3,grp_1,0
53779,0,0,1,2,1,0,3,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_1,grp_2,0
53821,0,2,1,1,0,0,1,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
53833,0,2,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
53955,0,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
54041,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
54052,0,2,1,1,0,2,1,0,1,1,grp_1,grp_3,grp_3,grp_3,grp_1,grp_3,0
54168,0,0,1,2,1,0,1,0,0,1,grp_3,grp_3,grp_3,grp_4,grp_2,grp_3,0
54175,0,0,1,0,0,0,1,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
54283,0,0,1,2,0,0,1,0,1,1,grp_3,grp_3,grp_1,grp_3,grp_2,grp_1,0
54388,0,2,1,2,1,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
54488,0,2,1,0,0,0,1,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_2,,0
54496,2,0,1,0,0,2,3,0,1,1,grp_2,grp_2,grp_2,grp_2,grp_1,grp_4,0
54589,1,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_1,grp_3,grp_2,grp_1,0
54616,0,0,1,2,1,0,1,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_2,grp_1,0
54641,0,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_1,grp_1,grp_2,0
54701,0,0,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_1,grp_4,grp_3,grp_2,0
54745,0,2,1,1,0,2,1,0,0,1,grp_3,grp_3,grp_1,grp_4,grp_1,grp_1,0
54858,2,2,1,0,0,0,3,1,1,1,grp_2,grp_2,grp_1,grp_3,grp_3,grp_2,0
54939,0,0,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_3,grp_3,,0
55232,0,0,1,2,1,2,3,0,0,1,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
55381,0,0,1,2,1,0,1,0,0,1,grp_3,grp_3,grp_3,grp_4,grp_2,grp_2,0
55388,0,0,1,2,1,1,3,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_3,grp_1,0
55398,2,0,1,0,0,2,3,0,1,1,grp_1,grp_1,grp_2,grp_1,grp_2,,0
55503,1,0,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,,0
55515,1,2,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_3,grp_2,grp_2,,0
55547,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_2,grp_1,grp_1,0
55563,0,2,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_4,grp_4,grp_3,grp_4,0
55670,0,2,1,0,0,0,3,1,1,1,grp_2,grp_3,grp_3,grp_3,grp_1,grp_2,0
56028,2,2,1,1,0,0,3,0,1,1,grp_3,grp_2,grp_2,grp_2,grp_1,grp_2,0
56084,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_1,grp_2,0
56110,0,0,1,1,0,2,1,0,0,1,grp_2,grp_3,grp_1,grp_4,grp_1,grp_1,0
56186,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_4,grp_3,grp_1,grp_4,0
56230,2,0,1,0,0,0,3,1,1,1,grp_1,grp_2,grp_2,grp_1,grp_1,,0
56378,0,0,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_2,grp_2,0
56555,2,2,0,0,0,0,3,1,1,1,grp_3,grp_2,grp_2,grp_3,grp_1,grp_2,0
56579,0,2,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
56957,0,0,1,0,0,0,3,1,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
56973,0,2,0,0,0,0,2,0,0,1,grp_1,grp_3,grp_1,grp_1,grp_3,grp_1,0
56998,0,0,1,2,1,0,3,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_1,grp_1,0
57245,2,1,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_1,grp_1,grp_2,0
57363,2,0,1,0,0,2,3,0,1,1,grp_3,grp_2,grp_2,grp_3,grp_1,grp_2,0
57368,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
57382,0,0,1,0,0,1,1,0,0,0,grp_2,grp_3,grp_1,grp_2,grp_3,grp_1,0
57594,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_3,,0
57618,0,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_2,grp_1,0
57646,0,2,1,0,0,0,2,0,1,1,grp_1,grp_3,grp_2,grp_1,grp_2,,0
57768,0,2,1,0,0,1,3,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_2,grp_1,0
57813,0,2,1,1,0,1,2,0,0,1,grp_1,grp_3,grp_1,grp_4,grp_3,grp_1,0
58072,0,0,1,2,1,2,2,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_2,grp_1,0
58076,0,0,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_3,grp_1,0
58340,0,1,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_3,grp_3,grp_3,grp_3,0
58583,2,0,1,1,0,0,2,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_1,grp_2,0
58632,0,2,1,2,1,0,2,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_2,grp_1,0
58667,0,1,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
58737,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_3,grp_2,0
58810,2,0,1,0,0,0,3,0,1,1,grp_2,grp_2,grp_2,grp_1,grp_3,grp_3,0
58879,1,2,1,0,0,0,1,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_2,grp_1,0
58881,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_1,grp_3,grp_3,0
58982,2,0,1,0,0,2,3,0,1,1,grp_3,grp_2,grp_2,grp_1,grp_1,grp_1,0
59024,2,0,1,0,0,2,3,0,1,1,grp_2,grp_2,grp_1,grp_1,grp_1,grp_1,0
59125,0,0,1,0,0,0,2,0,0,1,grp_3,grp_3,grp_3,grp_4,grp_1,grp_3,0
59219,1,2,1,2,1,0,3,0,1,1,grp_2,grp_3,grp_1,grp_2,grp_1,grp_1,0
59233,1,0,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_2,grp_1,0
59331,2,2,1,0,0,2,3,0,1,1,grp_3,grp_2,grp_2,grp_1,grp_1,grp_2,0
59461,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_2,grp_1,,0
59536,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_2,grp_1,grp_1,0
59542,0,2,1,0,0,2,1,0,0,1,grp_3,grp_3,grp_4,grp_3,grp_1,grp_4,0
59675,0,0,1,0,0,0,2,0,1,1,grp_1,grp_3,grp_4,grp_2,grp_1,grp_4,0
59790,2,0,0,3,2,0,2,1,1,1,grp_1,grp_1,grp_3,grp_3,grp_3,grp_2,0
59791,0,0,1,2,1,2,2,0,0,1,grp_2,grp_3,grp_4,grp_3,grp_1,grp_4,0
59798,2,0,0,3,2,0,2,1,1,1,grp_1,grp_1,grp_3,grp_3,grp_3,grp_2,0
59840,1,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_4,grp_4,grp_1,grp_3,0
59897,2,2,1,0,0,2,3,0,1,1,grp_1,grp_1,grp_3,grp_3,grp_1,,0
59902,2,2,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_2,grp_2,grp_1,grp_2,0
59928,0,0,1,2,1,0,1,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_3,grp_2,0
59993,0,2,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_4,grp_3,grp_3,grp_4,0
60032,2,0,1,2,1,0,3,0,1,1,grp_2,grp_2,grp_2,grp_2,grp_2,,0
60140,0,2,1,0,0,0,2,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_2,grp_2,0
60244,1,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_3,grp_2,grp_3,,0
60324,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_4,grp_1,grp_1,grp_4,0
60333,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_4,grp_3,grp_2,grp_4,0
60449,1,2,1,1,0,0,1,0,0,1,grp_1,grp_3,grp_2,grp_2,grp_2,,0
60508,1,2,1,2,1,0,1,0,0,1,grp_1,grp_3,grp_3,grp_1,grp_1,grp_2,0
60547,2,2,1,0,0,2,1,0,1,1,grp_2,grp_1,grp_1,grp_2,grp_1,grp_1,0
60641,2,2,1,0,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_2,grp_1,grp_4,0
60694,2,2,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_1,grp_2,grp_3,0
60768,2,2,1,0,0,0,3,0,1,1,grp_3,grp_2,grp_1,grp_2,grp_1,grp_2,0
60782,2,2,1,0,0,0,3,0,1,1,grp_3,grp_1,grp_2,grp_3,grp_1,grp_3,0
60803,2,2,1,0,0,0,3,1,1,1,grp_1,grp_1,grp_1,grp_3,grp_1,grp_1,0
61039,0,2,1,1,0,1,1,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_3,grp_1,0
61062,0,0,1,0,0,2,1,0,0,1,grp_3,grp_3,grp_3,grp_4,grp_1,grp_3,0
61082,2,0,0,3,2,0,2,1,1,1,grp_1,grp_2,grp_1,grp_1,grp_3,grp_2,0
61117,0,2,1,1,0,0,3,0,1,1,grp_2,grp_3,grp_2,grp_2,grp_1,,0
61136,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_1,grp_1,grp_2,0
61201,0,2,1,2,1,0,1,0,0,1,grp_2,grp_3,grp_2,grp_3,grp_2,,0
61206,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_4,grp_2,grp_1,grp_3,0
61208,0,0,1,2,1,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_2,0
61249,0,2,1,0,0,0,1,0,0,0,grp_2,grp_3,grp_3,grp_1,grp_3,grp_3,0
61289,2,1,1,0,0,0,3,0,1,1,grp_2,grp_2,grp_3,grp_1,grp_2,grp_2,0
61373,1,0,0,3,2,0,2,1,1,1,grp_2,grp_3,grp_3,grp_2,grp_3,grp_3,0
61401,0,2,1,0,0,0,2,0,1,0,grp_2,grp_3,grp_1,grp_2,grp_1,grp_2,0
61447,2,0,0,3,2,0,2,1,1,1,grp_1,grp_1,grp_2,grp_1,grp_3,grp_1,0
61474,1,2,1,0,0,2,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,,0
61480,1,2,1,0,0,0,3,1,1,1,grp_1,grp_3,grp_4,grp_2,grp_2,grp_4,0
61483,0,0,1,1,0,0,1,0,0,1,grp_2,grp_3,grp_3,grp_2,grp_1,grp_2,0
61544,0,2,1,2,1,2,1,0,0,1,grp_3,grp_3,grp_3,grp_3,grp_2,grp_2,0
61585,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_2,grp_2,,0
61594,0,2,1,1,0,1,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
61613,1,0,1,1,0,2,3,0,1,1,grp_1,grp_3,grp_3,grp_4,grp_1,grp_1,0
61614,2,1,1,1,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_2,grp_1,0
61633,0,2,1,2,1,0,2,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_3,grp_1,0
61671,0,0,1,2,1,0,3,0,0,1,grp_1,grp_3,grp_1,grp_1,grp_2,grp_1,0
61727,1,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_3,grp_2,grp_2,0
61800,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_1,grp_1,grp_2,grp_1,0
61807,1,2,1,0,0,2,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,,0
61851,0,0,1,2,1,2,2,0,0,1,grp_3,grp_3,grp_3,grp_3,grp_3,grp_3,0
62007,1,0,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,,0
62043,0,0,1,2,1,0,2,0,0,1,grp_1,grp_3,grp_1,grp_1,grp_1,grp_2,0
62107,2,0,0,3,2,0,2,1,1,1,grp_1,grp_1,grp_1,grp_1,grp_3,grp_3,0
62176,0,2,1,0,0,2,3,0,1,1,grp_2,grp_3,grp_3,grp_1,grp_3,grp_3,0
62201,2,0,1,0,0,0,3,0,1,1,grp_2,grp_2,grp_2,grp_2,grp_1,grp_2,0
62221,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_2,grp_2,,0
62224,0,0,1,0,0,0,2,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_3,grp_2,0
62369,2,0,1,0,0,1,3,0,1,1,grp_2,grp_1,grp_3,grp_4,grp_2,grp_2,0
62493,0,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
62506,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_2,grp_2,grp_2,,0
62562,2,1,1,1,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_2,,0
62573,1,2,1,1,0,0,3,0,1,1,grp_3,grp_3,grp_3,grp_3,grp_3,,0
62574,0,0,1,1,0,0,1,0,0,1,grp_1,grp_3,grp_4,grp_1,grp_3,grp_3,0
62810,0,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_2,grp_2,grp_2,,0
62861,1,0,1,2,1,2,1,0,1,1,grp_3,grp_3,grp_1,grp_3,grp_1,grp_1,0
62862,0,0,1,2,0,0,1,0,0,1,grp_3,grp_3,grp_4,grp_3,grp_1,grp_4,0
62888,2,2,0,0,0,0,3,0,1,1,grp_1,grp_2,grp_2,grp_1,grp_1,grp_1,0
62934,1,2,1,0,0,2,2,0,0,1,grp_3,grp_3,grp_3,grp_4,grp_3,,0
62944,1,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_2,grp_2,grp_1,,0
63055,2,2,1,1,0,0,3,0,1,1,grp_2,grp_2,grp_1,grp_3,grp_3,grp_2,0
63097,0,0,1,0,0,2,1,0,0,1,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
63313,1,0,1,1,0,2,2,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_3,grp_2,0
63335,1,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_2,grp_2,grp_3,,0
63345,1,0,1,1,0,0,3,0,1,1,grp_2,grp_3,grp_2,grp_3,grp_2,,0
63380,1,2,1,0,0,0,2,0,0,1,grp_3,grp_3,grp_1,grp_3,grp_1,grp_1,0
63427,2,0,1,2,1,0,3,0,1,1,grp_1,grp_2,grp_2,grp_1,grp_2,grp_2,0
63431,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_2,grp_2,,0
63485,1,2,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_4,grp_3,grp_1,grp_3,0
63500,2,2,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_3,grp_1,grp_3,grp_2,0
63524,0,0,1,0,0,2,3,0,1,1,grp_2,grp_3,grp_1,grp_1,grp_1,,0
63637,0,2,1,0,0,2,1,0,0,1,grp_3,grp_3,grp_1,grp_2,grp_1,grp_1,0
63754,2,0,1,0,0,2,3,0,1,1,grp_2,grp_2,grp_1,grp_2,grp_2,grp_2,0
63785,2,2,0,0,0,0,3,0,1,1,grp_1,grp_2,grp_2,grp_1,grp_2,grp_1,0
63819,2,2,1,0,0,0,3,1,1,1,grp_2,grp_1,grp_3,grp_3,grp_1,grp_3,0
63873,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_2,grp_3,grp_2,0
63906,0,1,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_4,grp_1,grp_1,grp_4,0
63941,1,1,1,0,0,0,3,1,1,1,grp_1,grp_3,grp_1,grp_3,grp_3,,0
63950,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_2,grp_1,,0
63982,2,0,1,0,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_2,grp_3,grp_1,0
63987,2,0,1,0,0,0,3,1,1,1,grp_1,grp_1,grp_1,grp_2,grp_3,grp_1,0
64015,2,0,1,1,0,0,3,0,1,1,grp_3,grp_2,grp_2,grp_4,grp_2,grp_4,0
64037,0,2,1,1,0,0,3,0,1,1,grp_2,grp_3,grp_2,grp_2,grp_3,,0
64064,2,0,1,0,0,0,3,0,1,1,grp_2,grp_2,grp_1,grp_2,grp_1,grp_1,0
64075,0,1,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_2,grp_1,grp_1,,0
64105,2,0,0,3,2,0,2,1,1,1,grp_1,grp_1,grp_3,grp_3,grp_3,grp_2,0
64107,0,1,1,2,1,2,2,0,0,1,grp_1,grp_3,grp_1,grp_4,grp_3,grp_1,0
64113,0,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_1,grp_4,0
64144,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_1,grp_3,,0
64157,0,2,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_3,grp_2,,0
64186,2,0,1,1,0,2,3,0,1,0,grp_2,grp_1,grp_1,grp_2,grp_1,grp_1,0
64217,0,0,1,0,0,2,2,0,0,1,grp_2,grp_3,grp_4,grp_3,grp_1,grp_4,0
64244,0,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_2,grp_1,grp_3,0
64270,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_3,grp_4,grp_1,grp_1,0
64322,2,2,1,0,0,0,3,1,1,1,grp_1,grp_1,grp_1,grp_1,grp_1,grp_3,0
64453,0,2,1,0,1,0,1,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_1,,1
64459,2,2,1,0,0,0,3,0,1,1,grp_3,grp_1,grp_2,grp_3,grp_2,grp_1,0
64508,0,2,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_3,grp_2,0
64511,0,0,1,0,0,0,1,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
64535,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_2,grp_1,,0
64536,1,0,1,0,1,0,3,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_2,,0
64547,1,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_3,grp_3,grp_3,,0
64737,0,2,1,1,0,0,3,1,1,1,grp_2,grp_3,grp_4,grp_2,grp_2,grp_4,0
64744,0,2,1,0,0,0,2,0,1,1,grp_1,grp_3,grp_4,grp_1,grp_3,grp_4,0
64749,1,2,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_2,grp_1,grp_1,,0
64793,1,0,1,0,0,2,2,0,1,1,grp_3,grp_3,grp_4,grp_3,grp_1,grp_3,0
64808,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_3,grp_2,grp_2,grp_2,0
64815,2,0,1,2,1,0,3,0,1,1,grp_1,grp_2,grp_1,grp_1,grp_1,grp_2,0
64817,2,2,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_1,grp_2,0
64843,0,2,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_2,grp_2,,0
64871,2,0,1,0,0,0,3,0,0,1,grp_2,grp_1,grp_3,grp_2,grp_2,grp_1,0
64952,2,0,1,2,1,0,3,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_1,grp_1,0
65000,0,1,1,0,0,0,1,0,0,0,grp_2,grp_3,grp_3,grp_1,grp_3,grp_2,0
65012,2,1,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_3,grp_1,grp_1,grp_1,0
65027,2,2,1,0,0,0,3,0,1,1,grp_3,grp_2,grp_1,grp_2,grp_1,,0
65097,0,2,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_3,,0
65158,0,2,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_4,grp_1,grp_1,0
65164,2,0,1,0,0,0,3,1,1,1,grp_1,grp_1,grp_2,grp_2,grp_2,grp_1,0
65167,2,0,1,0,0,2,3,0,1,1,grp_2,grp_1,grp_3,grp_2,grp_1,grp_1,0
65177,2,2,1,0,0,2,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_1,grp_3,0
65229,1,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_1,grp_3,grp_3,,0
65239,0,2,1,1,0,2,1,0,1,1,grp_2,grp_3,grp_1,grp_1,grp_2,grp_1,0
65247,0,0,1,2,1,0,1,0,1,1,grp_2,grp_3,grp_3,grp_2,grp_1,grp_2,0
65261,2,0,1,0,0,0,3,0,1,1,grp_3,grp_2,grp_1,grp_3,grp_2,grp_3,0
65276,0,0,0,3,2,0,2,1,1,1,grp_1,grp_3,grp_3,grp_1,grp_3,grp_3,0
65311,2,2,1,0,0,0,3,1,1,0,grp_2,grp_2,grp_1,grp_1,grp_3,grp_4,0
65348,0,0,1,0,0,0,2,0,0,1,grp_2,grp_3,grp_3,grp_1,grp_1,grp_4,0
65389,2,2,1,0,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_2,grp_2,0
65419,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_1,grp_2,grp_2,0
65425,2,2,0,1,0,0,3,1,1,1,grp_1,grp_1,grp_1,grp_2,grp_2,,0
65436,1,2,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_1,grp_4,grp_2,,0
65457,2,2,1,0,0,0,3,0,1,1,grp_3,grp_2,grp_1,grp_2,grp_1,grp_1,0
65539,0,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_4,grp_1,grp_2,grp_4,0
65586,2,2,1,0,0,0,3,0,1,1,grp_1,grp_2,grp_2,grp_1,grp_1,grp_2,0
