,COD_CPPOP_CRI,IRPAR_USAGE_V12_MAX,IRPRO_USAGE_V12_MAX,QUA_INT_1_BRP,QUA_INT_MAX_BRP,CODTYP_CRT_TRAVAIL_CRI,COD_SITU_LOGT_CRI,COD_TYPE_MARCHE_CRI,IND_PRIMO_ACCEDT_CRI,TOP_NAT_FR_CRI,g_MNT_TOT_ASSURANCE_CRI,g_COUT_RACHAT_BRP,g_quotite,g_PCT_TEG_TAEG_CRI,g_MOY_ANC_PROF_BRP,g_BEST_APPORT_TX_BRP,defaut_36mois
108094,0,0,1,0,0,0,1,0,1,1,grp_2,grp_3,grp_4,grp_2,grp_1,grp_4,0
108095,0,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_3,grp_2,grp_2,grp_2,0
108096,0,0,1,1,0,0,1,0,0,0,grp_2,grp_3,grp_4,grp_3,grp_1,grp_4,0
108097,2,0,1,0,0,0,3,1,1,1,grp_1,grp_1,grp_3,grp_2,grp_3,grp_1,0
108098,0,2,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_3,grp_1,0
108099,0,2,1,2,0,2,3,0,1,1,grp_3,grp_3,grp_4,grp_2,grp_2,grp_4,0
108100,0,0,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_3,grp_1,,0
108101,0,0,1,0,0,2,2,0,1,1,grp_3,grp_3,grp_2,grp_3,grp_1,,0
108102,0,0,1,0,0,0,2,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_1,grp_2,0
108103,0,0,1,0,0,0,1,0,0,0,grp_2,grp_3,grp_3,grp_1,grp_3,grp_2,0
108104,2,1,1,0,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_2,grp_1,grp_1,0
108105,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_3,grp_1,grp_2,0
108106,0,0,1,0,0,0,2,0,0,1,grp_3,grp_3,grp_3,grp_1,grp_3,grp_4,0
108107,0,2,1,0,0,0,2,1,1,1,grp_1,grp_3,grp_1,grp_2,grp_3,grp_1,0
